,er,AV,Accuracy
507,h2o.deepL,Sophos,0.8920539730134935
508,h2o.deepL,Symantec,0.8890554722638679
509,h2o.deepL,Tencent,0.9006746626686655
510,h2o.deepL,TheHacker,0.878935532233883
511,h2o.deepL,TotalDefense,0.883808095952024
512,h2o.deepL,TrendMicro,0.89167916041979
513,h2o.deepL,TMHouseC,0.893928035982009
514,h2o.deepL,VBA32,0.9002998500749625
515,h2o.deepL,VIPRE,0.8980509745127435
516,h2o.deepL,ViRobot,0.8392053973013495
517,h2o.deepL,Webroot,0.910044977511244
518,h2o.deepL,Yandex,0.908920539730135
519,h2o.deepL,ZoneAlarm,0.895052473763118
520,h2o.deepL,Zoner,0.928785607196402
521,h2o.deepL,eGambit,0.9351574212893554
522,h2o.gbm,ALYac,0.937406296851574
523,h2o.gbm,AVG,0.920914542728636
524,h2o.gbm,AVware,0.9156671664167915
525,h2o.gbm,Ad-Aware,0.9351574212893554
526,h2o.gbm,AhnLab-V3,0.9306596701649175
527,h2o.gbm,Arcabit,0.9246626686656669
528,h2o.gbm,Avast,0.918665667166417
529,h2o.gbm,Avira,0.9205397301349325
530,h2o.gbm,Baidu,0.924662668665667
531,h2o.gbm,BitDefender,0.9299100449775111
532,h2o.gbm,Bkav,0.929160419790105
533,h2o.gbm,CATQHeal,0.9209145427286355
534,h2o.gbm,CMC,0.9126686656671665
535,h2o.gbm,ClamAV,0.9329085457271364
536,h2o.gbm,Comodo,0.9250374812593705
537,h2o.gbm,CrowdStrike,0.928785607196402
538,h2o.gbm,Cyren,0.9302848575712145
539,h2o.gbm,DrWeb,0.924662668665667
540,h2o.gbm,ENOD32,0.917166416791604
541,h2o.gbm,Emsisoft,0.921664167916042
542,h2o.gbm,Endgame,0.9242878560719641
543,h2o.gbm,F-Prot,0.9329085457271364
544,h2o.gbm,F-Secure,0.924287856071964
545,h2o.gbm,Fortinet,0.911169415292354
546,h2o.gbm,GData,0.923538230884558
547,h2o.gbm,Invincea,0.9231634182908546
548,h2o.gbm,Jiangmin,0.93215892053973
549,h2o.gbm,K7AntiVirus,0.9227886056971515
550,h2o.gbm,K7GW,0.928785607196402
551,h2o.gbm,Kaspersky,0.9197901049475266
552,h2o.gbm,Kingsoft,0.8474512743628184
553,h2o.gbm,MAX,0.913793103448276
554,h2o.gbm,McAfee,0.920164917541229
555,h2o.gbm,McAfee-GW,0.9156671664167915
556,h2o.gbm,MicroWorld,0.926911544227886
557,h2o.gbm,Microsoft,0.91904047976012
558,h2o.gbm,NANO,0.9186656671664165
559,h2o.gbm,Paloalto,0.9104197901049476
560,h2o.gbm,Panda,0.9242878560719641
561,h2o.gbm,Qihoo-360,0.92503748125937
562,h2o.gbm,Rising,0.931034482758621
563,h2o.gbm,SASpyware,0.9332833583208395
564,h2o.gbm,SentinelOne,0.9242878560719641
565,h2o.gbm,Sophos,0.9220389805097451
566,h2o.gbm,Symantec,0.913793103448276
567,h2o.gbm,Tencent,0.9261619190404795
568,h2o.gbm,TheHacker,0.901424287856072
569,h2o.gbm,TotalDefense,0.9122938530734634
570,h2o.gbm,TrendMicro,0.9231634182908546
571,h2o.gbm,TMHouseC,0.920539730134933
572,h2o.gbm,VBA32,0.9269115442278865
573,h2o.gbm,VIPRE,0.9152923538230885
574,h2o.gbm,ViRobot,0.8643178410794605
575,h2o.gbm,Webroot,0.9284107946026989
576,h2o.gbm,Yandex,0.931784107946027
577,h2o.gbm,ZoneAlarm,0.919790104947526
578,h2o.gbm,Zoner,0.937781109445277
579,h2o.gbm,eGambit,0.9512743628185905
580,h2o.glm,ALYac,0.9081709145427286
581,h2o.glm,AVG,0.853823088455772
582,h2o.glm,AVware,0.8339580209895054
583,h2o.glm,Ad-Aware,0.895052473763118
584,h2o.glm,AhnLab-V3,0.8721889055472261
585,h2o.glm,Arcabit,0.8624437781109444
